class,Tweet
neg,'@phel Will be out - sorry '
neg,'Oh nor forgot it was the FA cup!! Hubby just put the TV on  Least I missed the boring 0 - 0 first half!!!'
neg,'I am home....................very bored '
neg,'@thecrissycat S� muy poco franc�s.  I took spanish+french in school and forget it all '
neg,'Perugia was fun back in Roma, and now I miss the minimetro '
neg,'has a broken 360 '
neg,'lj, why the lag? '
neg,'Shamus why, oh why did I try to eat my new dog bowl?  Now I am in trouble.  I am so lonely in my bed.  http://apps.facebook.com/dogboo ...'
neg,'@ApothecaryJeri Not in the class now  Catching up on a video class I missed elsewhere. Will catch @rossgoldberg s on the replay'
neg,'A blessed Sunday morning 2 u all.  I didnt make it church this morning '
neg,'Home. Super active day. Wrecked! Loads of housework to do though. '
neg,'i just wanna sleep in like tommy--- ugh, too bad! '
neg,'Im alone at home... thats ok, but it would be better if one person would be here...  ... miss you! ... '
neg,'@TalisaO i misss you leees! '
neg,'4th time this week I dreamt about Antoinne... damn... someone please hit me wit the men in black laser and wipe him from my memory! '
neg,'I missed church because I overslept '
neg,'Livejournal seems to be down  I cant be distracted for editing my essay ^^ NO its back!  MM '
neg,'@lana_berry disappointingly no  I want to lay on the couch and watch The Office Xmas episode lol'
neg,'Working sunday=  manda...but I think I am finally getting a tan..'
neg,'around, soo much homework   had a good weekend though !'
neg,'Just heard about Madonnas 2nd horse inncident   does this mean shes going to come back with round 2 of confessions on a dancefloor?! '
neg,'i sneezed so hard at shoprite i spilled my coffee. no one was impressed '
neg,' I wanna pick up my Jimmy Choo shades. Post Offices should reeeeeeeally be open on Sun!'
neg,'@mattgemmell How many people ended up attending, wanted to go, but couldnt '
neg,'Tennis Elbow operation = Ouuch.. Need Some sympathy please '
neg,'omg im suffering from fb withdrawal! Im dying to check it...I hadnt realized just how obsessed I was. It s really sad  '
neg,'Ive had a mad half hour on the trampoline while the sun is shining.  Back to work tomorrow after 2 weeks off '
neg,'is literally baking in the sun! ahh i am sooo dark! '
neg,'is... wanting someone like crazy... lol... and they had to go  AHHH!!'
neg,'what a crappy day...rain, too much homework, and constantly being let down by people '
neg,'Is back! But not unpacked from Spring Harvest. Havent got the energy, and its college tomorrow!  '
neg,'@JodieJudo_ Its okay, but the teacher makes it seem worse than it is.  Aw, Im sure than Spanish &amp; French are both better than German! x'
neg,'Returned from Navan Fest,  such a beauitful day,  but i still have a lot of work to do emmm '
neg,'I dont know how to send messages on here, can anyone help me  xx'
neg,'@PinchHost your phpMyAdmin page is incredibly slow '
neg,'@BlogXilla I was about to DM and tell you that. Sorry to see it is down '
neg,'my ubuntu gtwitter stopped working - so no news at the moment  '
neg,'Keith is still sleeping.  Im going to be brave and use the shower so I dont make us late '
neg,'mouring her dog, Cosmo.  This is very, very hard.  '
neg,'I miss my boy bands  bring them backkk'
neg,'I cant believe its Sunday already. I don t wanna go back to work.  Blah.. at least we have all day today. Desperate Housewives is new '
neg,'Now Im lonely!  Hmm... Maybe I could wash my ass and watch a movie.'
neg,'@yourenotsorry aww babe, im so sorry '
neg,'My armpit kinda hurts. '
neg,'No gym for me 2day..i think I just sprained my ankle '
neg,'Washing the car.  lol'
neg,'@Robocub I always wanted an iBook ... but no USB and no WiFi means I wouldnt actually use it. It would just sit on a desk somewhere. '
neg,'KKRs fantabulous run rate.. 2 runs in 3 ovrs in a 20-20 match.. i was callun RCB a test team but apna sikka hi khota nikal gaya..  #ipl'
neg,'has tooooooo much art to do for tomorrow '
neg,'Tuna on its way to being wiped out by 2012   http://bit.ly/N0MiV'
neg,'@Teems. '
neg,'just got up and it pouring rain outside '
neg,'@sarahbetterlife back in the overcast skies  our flight home was painless any ?s you need to take a course on working controls'
neg,'It kills me to prepare for the mid-term. '
neg,'missing Aaron. a lot. I hate/love you. dick. '
neg,'im tired and now i have to learn for school '
neg,'@LilMitch Damn.  Oh well, that means we can just spend our money on something else. '
neg,'Ive slept more than 14 hours last night... My flus gettin  pretty serious obviously...  '
neg,'urgh bak to school tomorrow  then fun fun 10 hour art exam a week or so later'
neg,'@macintom weird, are a couple of sites i cant access to day expatica.com being one of them '
neg,'Cold Day!! '
neg,'this sunday cant get any worse  hmmm.'
neg,'I miss my laptop '
neg,'uuuuuugh. i need to stop staying up till 4:30 playing video games. especially ones like viva pinata  '
neg,'@kevinpollak who are your guests tonite - missed last week w/holiday  '
neg,'just waking up. alex just left me '
neg,'Worst dream ever so bad i cant even share it '
neg,'@stephenfry Down here in Southampton, we feel some of that pain. Trouble is, we cant both get out if Im afraid  '
neg,'andrew just left back to San Jose.. '
neg,'aww johnathon cook is in nashville today  i would so go find him if i could drive!'
neg,'i might have strep throat! '
neg,'Ok so we are going out to play in the mud at 1 to finish the round--it will be a 36 hole event '
neg,'@BadgerT Awww you poor thing  does make you sound about 5 though :-P what did you fall over? x'
neg,'Cant figure out why im awake. '
neg,'Something for nothing doesnt exist. What will be the price we have to pay for Tweeting? It may not be cash but there will be a price '
neg,'has homework '
neg,'To be honest hip hop is dead to me 80% of everything out is not hip hop but they wanna us to belive it is. I miss the early and mid 90s. '
neg,'@siovene heat = if I stay in my room for 30 mins.. I start sweating, and my t-shirt gets wet from sweat. Its more than 30�C in here '
neg,'@HenryMCCRORY  Im just going to come kidnap you... She cant do anything about that :p '
neg,'Goodmorning! Great day yesterday. Homework day '
neg,'In the days of being home I somehow lost my card again!! '
neg,'Hopefully I can really edit my blog today - its really dead. '
neg,'Im not @ work and tired as hell...I dont think I can make it to 2pm...should of never went out and drank last night  '
neg,'@boilerfan_98 What you went to HOB?!?!  LOL.... I cant believe we missed Sexify My Love '
neg,'full of salad;;photoshoot then work then staying up all night to write a research paper '
neg,'@PockeTwitDev I installed PockeTwit, but the map wont show up, at least in germany/munich. Just a grey area without any landmarks. '
neg,'I suck at brickbreaker '
neg,'@nessie111 lmfao 15,,, omg, i cant get tipsy of them  give me pints, i get tipsy after about 8 or 9, lol'
neg,'Im rather sad that the Open Tournament overlaps the same Sat. block as Solaris Melee &amp; &quot;Whats up w/ Catalyst&quot; @ GenCon.  I want all 3. '
neg,'I have running around to do today but I dont feel like it   getting out will do me some good, LOL, even though I want to be lazy!'
neg,'@DoubleEdgeSword it hit me before I even went to bed last night! Im thinking of ways to get out of it '
neg,'Taking Tater Back Today '
neg,'i only have 4 days left of school but it feels like FOREVER and its NEVER going to end....soooooo much to do '
neg,'to do: avoid spending my entire paycheck over the next two weeks '
neg,'listenin 2 alica keys no one on vh1......makin me depressed reminds me off my x '
neg,'I miss the abundance of readily available climbing walls in England '
neg,'Ow.  Ting Ting got out while I was taking out the trash so I had to chase her down the stairs and bring her back to the apt '
neg,'Laying in bed Im exausted '
neg,'@vaughnlowery its that michigan breeding, man. takes the sun tolerance right out of us. '
neg,'Leshawns funeral in 2 hours  this is going to be a sad day'
neg,'Doesnt get it '
neg,'Not tweeeeeted much lately...at work at the moment...back to uni tomorrow  settled in at home so dont really wanna go back'
neg,'i reallly want an iphone '
neg,'thats enough relaxation, time to study for my finals '
neg,'Ahhh.. one more wicket down...  #ipl09 #ipl'
neg,'is finally home again. what a fantastic week. i wanna do it again '
neg,'Dakota had a seizure this morning.  We thought only our Phoebe had seizures.  '
neg,'@zappos, your website isnt loading    and I was all set to buy some of those cute Poetic License shoes I saw!'
neg,'@xPollyWood - was los? '
neg,'@WarrenWhitlock Thx &amp; Sorry to be missing you at http://lifeclassroom.tv  my schedule didnt jive this time round  Enjoy! #lastmasters'
neg,'Car back from mechanic. Still broken. Fudge... '
neg,'At work.   But at least Shogun won  '
neg,'@AlanDeSmet I missed last year.  It was godawful in 2006, and just regular awful in 2007. Why improve?'
neg,'@bjstone64 Im going to see 17 Again...lol. Im going with the girls on my floor. It s our last time to do something as a group.  '
neg,'Something for nothing doesnt exist. What will be the price we have to pay for Tweeting? It may not be cash but there will be a price '
neg,'@laurelexmachina I caaaaaant. Gotta paint! '
neg,'If I said my feet were sore it would be an understatement   #aacr'
neg,'Has a really scary dream last night! '
neg,'I HATE SUNDAYS N IM BACK TO SKOOL TOMOZ MY HOLIDAYS IS OVA '
neg,'watching law &amp; order c.i marathon. i woke up at 9am to a yummy bagel.  movies later. school tomorrow '
neg,'@AishaNH Yea kinda, its just a 102 fever headache stomachache thing  but it seems to only last 24 hours  They are both better now.'
neg,'Working till 6 '
neg,'darnit now I cant stop coughing '
neg,'Yay done simulink. Now report '
neg,'college english... who knew it could be so boring???? '
neg,'@keza34 yeah its gross and sweetcorn is also evil  lol'
neg,'on the way home. nasty rainy day. '
neg,'just got up like an hour ago. now i have to do home work  can you say boring....'
neg,'dive weekend a success! saw: cuttlefish. and it posed before changing color and swimming away. no camera '
neg,'@Moonshayde s/hed have to be this teeny weak frail old lady type like me to fit into mine. '
neg,'legit needs a medicinal marijuana prescription because it is the ONLY thing that helps '
neg,'@deviantfantasy but it blacked out durring a challenge. '
neg,'@BonkaWonka ick.  I hate when that happens.'
neg,'Ugh. I hate spending money '
neg,'I dreamed of dog training last night... Dont even have a dog right now '
neg,'@SiobhanOliver fine. Just go without me then! '
neg,'Oh my, this is not good. My mom is back in bed after being up all of an hour and 15 minutes.   *tears welling up in eyes*'
neg,'@milliemagsaysay ok you�re welcome, one question... why are u going to barcelona and not coming to madrid? '
neg,'whimper foot pain!!! '
neg,'Doing computing homework '
neg,'i dont wanna go back to schooooooool '
neg,'blehh. i dont wanna go back to schooooool  5/6 weeks-ish till summer holidays though. XDDDDDD'
neg,'BLAZING....LMAO  ( NOT YET I WISH  )'
neg,'Just hanging out with Colin. The rest of the fam is gone '
neg,'trying to enjoy my last day of spring break...its back to work tomorrow! '
neg,'- Bored , last day of Easter has been ok - feels a bit upset but i dont know why  Arggh  School tomorrra - tht has made me feel even worse'
neg,'Im finally home! But I have all of my homework to do '
neg,'Curled up under my covers. Im so damn sleepy '
neg,'Been up nearly 24 hrs - cant sleep '
neg,'i dont know if anyone tried to contact me last night, but my phone fell out of my purse at sugar and i feel disconnected from the world! '
neg,'why cant I wake up?   '
neg,'I want a scrambled egg bagel with dill cream cheese '
neg,'Hooray for Toro Rosso!  Sucks for David Coulthard   He deserves better'
neg,'@jackostain goood cuz I needz tha blessingz! ( Im at work now) missing movie day with my babycuz '
neg,'@EmoHearts_x :o doomsday makes me cry at the end '
neg,'@NnennaStella ah shit! I wish I could come  Im on my way to &quot;volunteer&quot; in glendale!'
neg,'Sunday should be a day to lounge around and do nothing! Today would be perfect if I could find some decent Mexican food in this town '
neg,'Getting ready to go to grocery store...watching it rain '
neg,'says condolence to the family of ryan fajardo. rest in peace ryan. im so glad naging CAT officer kita. mahal ka ng batch magiting '
neg,'@SLUMVILLAGE313 What about DC!? '
neg,'break up '
neg,'I  want to get into a vampire the requiem game but 1) I cant find one and 2) Im too shy  3) Haven t figured out the dice part yet.  '
neg,'@hitmanmike ooo sounds like a world domanation then :), cant wait to hear it then :), i cant believe i missed you guys in newport  x '
neg,'Waiting for the person to come see my cat to adopt this morning.  Hes a wonderful cat, but w/aging beagle, its just too much '
neg,'@rudyWRITES  ima make u wear a dress when u come to brooklyn lol'
neg,'@intelligensia Youll have to kiss the warranty goodbye now! '
neg,'Someone egged my bedroom window, I know who '
neg,'Heading to sallys for a lovely day of work. Forgot my hot pockets at home. '
neg,'Az wins, i live there '
neg,'@BrianNeudorff  Yes, tis a rainy day here in #Chicago! Tought to take after 75 degrees and sunny Saturday! Today its 55 degrees. '
neg,'@gabysslave No, we havent. '
neg,'@Somaya_Reece i miss maui !! '
neg,'@emmers44 I had the best dream ever last night!! And then I woke up and almost cried cus it wasnt real!! '
neg,'Sitting at home doing laundry.. '
neg,'spin_that: Wants coffee &amp; food but I forgot my car isnt here and the truck wont start.  '
neg,'&quot;I dont know if i should smile because we are friends...Or cry because thats all we will ever be!&quot;  '
neg,'work and homework all day '
neg,'so sick of this nasty weather.. '
neg,'got her stuff from the laundry shop. namansahan lgi akong spongebob yellow shirt.  http://plurk.com/p/p12ep'
neg,'Geeze my phone is broketed!  Going to work at 1 :/'
neg,'@cindylake i dont have my camera with me. its in my hostel room '
neg,'Today would have been your 24. birthday... Im thinking of you... and I miss you... '
neg,'Last day of Experiments in Cinema...how sad '
neg,'what!  she a ho T_T'
neg,'@Jablonowski theres a drag queen in Atlanta with that name already '
neg,'@basics Matthew! Its already Sunday. '
neg,'officially a member of NMBC! Unfortunately I wont be there again until Sept '
neg,'Im sooooooooooo sick  not looking forward to work tonight '
neg,'darn! no milk 4 the cerial.! I wanted cerial! ugh! im hungryyyy!  im also bored.! i m on the computer to much....... =/ '
neg,'Just had few drinks and bbq. Is not looking forward to school means no more drinking '
neg,'@DaniPLQ Oh honey! Are you okay? What is happening? '
neg,'@marebertola youre not kidding  4pm study date tomorrow?'
neg,'@Igniitus I havent turned my Wii on in months '
neg,'@riskybusinessmb i have a new mission for you. ready for this? a PPP... in Washington DC...not at Pinkberry (we dont have it here  ) BUT,'
neg,'Trying to write a sales plan but not having much luck '
neg,'I am sad to have to kill my beloved sprite darters in order to have one as a pet on Horde '
neg,'Testing bit.ly to post to Twitter. Looking for alternative since idek.net was booted f/ Tweetdeck   http://bit.ly/kpgAY Chevy Peapod!'
neg,'watched fantastic four film earlier with kids, was rubbish '
neg,'Hmm back to school tomorrow, this is not good.  I could cry'
neg,'naupte buna/good night all, please pray for us as we have lost my bf Grandma in sibiu romania,he did not get to see her since 5 years ago '
neg,'Back to School Tomoz ,Exam First Thing '
neg,'@slouchy I bet these same people believe shes being mistreated, too. OY. Too bad that dont know what s really going on, eh?  '
neg,'dropped her camera outside last nite and didnt know it was missin till this mornin..glad i have insurance on it...its soaked '
neg,'my ipod touch is screwed up? '
neg,'The worst part was no management to take my complaints '
neg,'@sarahdjones we need to get together again. i miss you guys '
neg,'I dont wanna get up. '
neg,'is bummed out that my work IMPL lasted past late Church service... should of gone to Saturday night service.  hindsight is 20/20'
neg,'very very hurty knee '
neg,'http://twitpic.com/3lmie - missing them '
neg,'uuuuuuuuuum yeah including the building fee and alllll that gay shit it ended up being like $50  no bueno!'
neg,'@thinhybear Its her first, and she wore white pants today. Be nice '
neg,'I have a headache. I think Ive already lost readers. '
neg,'@bethh_kidd your soo lucky you get to dye your hair. my mom wont let me dye my hair '
neg,'@tehroxie ah yush they would  And if they would have been taken after the race they could be having an angst-club meeting lol'
neg,'re-decorating my room then seventeen again school tomorrow '
neg,'My drink is sat on the desk aaaaaall the way on the other side of my room.  Thought id tweet about it. Addicted much? /dehydration'
neg,'morninggg. stuck doing nothing '
neg,'@crackberrywhore When are you off this week? i so wanted to go to the beach on mon since its gonna be nice weather but i work '
neg,'@doctorpopcorn Cant afford it. '
neg,'@seal_3 Awww...I havent seen it yet but i def. want to. I just dont wany to cry!  '
neg,'My straightened broke  this is the second CHI straightener this has happened too. Im so sad.'
neg,'I just told my flatmate that Ganguly has a tendency to edge in such circumstances, he did, so sad to be proved correct  #ipl'
neg,'The room wont stop spinning '
neg,'has stayed up way too late '
neg,'@michaelpokocky Aaaah let me count the ways... it sucks!! I always leave &amp; have to come back, my family in UK USA UAE and IE '
neg,'@y2kjon i wanna go to the zoo  '
neg,'@ComedyQueen lmfao  yeah i no i did  not good'
neg,'Has a major headache...2 much party last night '
neg,'More broken glass from the fishing daily.  This time its orange and 10 copper '
neg,'On the way back from Texas...really missin church '
neg,'@freddyphh I heard about last night dag where was my invite??? Daaaaag 4got all about the bunni I see how it is  LOL'
neg,'@8DDogs Poor Cody '
neg,'Decided on sun..Fell asleep, now has a burnt face...correction HALF a burnt face '
neg,'On the train currently. Very hot! No windows, that will open anyway.  #arrivatrainswales suck! Although, they are comfy. Need a drink. '
neg,'On duty from 12-6pm in Hunt, then 7:30pm-2:30am in BBR... not fun. '
neg,'Grr. I hate being helpless. '
neg,'@legendarcy its so annoying isnt it?  Right now I d love something heroy BUT a lot of them out there are x-men, which I like but I d [&gt;] '
neg,'@nuttychris nah you forgot about me '
neg,'So... Im running on very few hours of sleep  all I want to do is sleep for the   rest of the day, but I have stuff to do &gt;.&lt;'
neg,'@jabrinkworth '
neg,'inversion of dinner plans - from guest to host in 10 mins '
neg,'my cold came back. '
neg,'on second thought, i cannot sleep '
neg,'is trying to do homework -- not working so well. spring break ends today  &amp; waiting for someone to wake up...'
neg,'Thinks United need a goal soon '
neg,'@rockscottydont aaahhh!! i wish!!! im over budget already this paycheck though...so no gas to get therrre '
neg,'Can someone with muscles please help me bring my stuf to the attics. I CAN do it, I just dont WANT to do it. Up 2 flights of stairs. '
neg,'feeling the pain in my buns after biking 20 km around Warsaw yesterday '
neg,' still waiting for the goal by MAN U !!!'
neg,'ah, loving the musical life... back to homework '
neg,'Sitting in the red room thinking...i left my ipod at home '
neg,'@chirpy_charlie Who wants to go back to work tomorrow? Not me! '
neg,'im doing some coursework, media again '
neg,'@jenn_elle afternoon. It was ok. Only two of my friends showed up. Slightly disappointed but we made it work. The night didnt end well '
neg,'I am waiting for Jared to return from patrolling '
neg,'Firefox is sooooo slow on linux '
neg,'So my day was off to a terrible start: I was supposed to meet for lunch, and my stomache decided Chick-fil-a, which is closed  #fb'
neg,'@bennigeorge Apparently my parents do, as they made me turn it down '
neg,'sorry @beckerdoodle... im at grandmas in east aurora.. going to a benefit in OP..and that is what they are for  wont be home before 5 '
neg,'only has one pillowcase. For two pillows. '
neg,'Looking for a new mattress and found with a max weight per person more than my weight.  Better get to the Gym! No, they werent for kids'
neg,'is at work! '
neg,'@hantu BOO! am never invited '
neg,'@boknowsshoes  guess Ill make it myself.... lol...'
neg,'Im going to the beach today.  i wanted to go downtown.'
neg,'@HootyMcBoon No youre not  Its okay...I can t wait for more! '
neg,'@hilandveil no workie for me yet  its trying though!'
neg,'Last update retracted - I was too happy to think of that piece of shit author being sued to remember to check for a source. Its made up '
neg,'@danii_elle i saved Dan n Jenna yesterday morning...the bee was huuuuuge...dan took a picture of it hahah!! Owww my phoneeeeeeeee  xxx'
neg,'@AshleyLaxson ok you make it sound like i dont care your hungry or never like you to wake me up.... im not that mean  '
neg,'Breakfast at Gusto grilled organics, and then its goodbye manhattan '
neg,'@tatvictoria so weird. I just said out loud that SOMEONE needs to delivery me brunch '
neg,'yay vista is back. I wanna switch to win7 now '
neg,'@ToddKlindt Good deal!  Ive been slacking on game time lately    You play Halo 3 at all?'
neg,'@shayman thx.  just saw the video. '
neg,'@slouchy You have every right to be livid. Sorry.  '
neg,'am going to sleep... i hate Monday... '
neg,'I wish I went to Syracuseeee! Leaving '
neg,'Cuddy bashing gets on my nerves, argh!  Also, I need to shower but I cant be bothered moving.  And I want someone to talk to. '
neg,'Morning. [Afternoon, East Coast] My toe hurts. Someone stomped on it last night. '
neg,'Really fed up of orange sluts coming into work, ordering 1 can of coke between like 8 of them and hogging my sunny tables '
neg,'Money issues  Oh beautiful life. Oh how I fail at it. Heres hoping Trong Ans party is loaded with the good stuff to help me forget. '
neg,'sunday, that means school tomorrow '
neg,'@chillelle get well sooooooooon!! still havent seen 17 again!! '
neg,'@chicgeek75 sounds like your move didnt turn out so well. Sorry to hear that  Our move was great but theyre rebuilding a house next door '
neg,'missing Mexico more than ever '
neg,'http://twitpic.com/3lmvi - Shes trying to makes me feel better '
neg,'@bennehton Which is too bad, cus hes an awesome fighter. But it may be time to retire. '
neg,'@JoyVBehar  My Mom did the Times crossword every day in ink! Sposed to keep you mentally agile...too bad the demetia didnt take heed! '
neg,'@ComedyQueen i know hes ignoring me now hes all bored of me '
neg,'http://twitpic.com/3lmw1 - I want them here forever. '
neg,'@matt49er I only managed to watch the first one on TV, missed the rest because of the poor quality of the itvplayer '
neg,'@emilypaigee oh cool, Im finding it really hard to find a descent agent! -yeah I live in the UK!  x'
neg,'Just found Hemlock Wooly Adelgid on one of our young hemlocks here outside Philly...    http://is.gd/tjdv'
neg,'@Mollieandme haha Did you Have  Nice Easter mr.evans..? its soo nice outside and im in the house somthing Not right here '
neg,'Im freezing  Could someone please turn on the sun??'
neg,'@selenagomez Selena. I live in Minnesota, and I really wanna go see you perform on May 14... but I dont think I can...  I am so suoer sad'
neg,'hates extended essay more than anything in the world right now   '
neg,'@shayman on a somewhat lucky (for me) note.  I work about 5 blocks from the 905 location, and didnt know it. Still sad. '
neg,'waiting to get told to clean&amp;watching some american idol thing. gabbis sleeping '
neg,'I wish I didnt have to get out of bed today '
neg,'Been told that there is a launch delay of �a few days�  http://tinyurl.com/clqja5'
neg,'@meer have done the first 2 proper levels after the village - the field &amp; the tsuta ruins, then have bn stuck for hrs on the stupid log '
neg,' my harvest moon game keeps freezing! I have things to do on there! =('
neg,'@Coccinella2 wish i could have made it! '
neg,'@beckybootsx I got bored of it haha. Its hard when they dont type in proper english  '
neg,'Im going to the hospital...i think I have food poisoning '
neg,'I have to put away all my fall/winter stuff &amp; rearrange my wardrobe  Sigh.'
neg,'Wow thats one Cool tattoo!  And the story behind its well Sad  but yeah...The tattoo is cool  '
neg,'@ranjanv thanks Ranjan ..both guys at TechnoLabs have been ill this weekend '
neg,'cant play world tour  dam cymbal'
neg,'oh god im stalking 12 people, poor them '
neg,'@kellyrichey minneapolis to indianapolis without stopping through Milwaukee? '
neg,'2day officially starts my fasting week. '
neg,'ooomg really inconsiderate '
neg,'@kul7ure Hard times my friend.  Finding funding for our non-profit is like pulling teeth!  '
neg,'@TysNinnie  Sorry you are feeling bad.  Lots of healing thoughts going your way.'
neg,'I miss my hubby '
neg,'nooooo!  left important paperwork at work which is a 90 min round trip and I need it for tomorrow .... double gutted!!!!! off I go '
neg,'my stomach hurts like a beast.  no idea why.'
neg,'@laurelexmachina Me too... but thats not the life thats meant for us right now '
neg,'On the grind.. 9-7 .. 38th &amp; 1st .. &amp;  slippin in that making the band episode i missed.. about to cry at work '
neg,'just finished listening to the 5.1 mix of the sounds of the universe album by depeche mode. to be honest... im a little disappointed '
neg,'cheer then back to do homework. lame. '
neg,'Journey - Ask The Lonely.  Im quite lonely, seeing as im stuck and youre not helping me!   Cant beat a bit of Journey though.'
neg,'Holidays are nearly over and we all have 2go to school again..man that sucks '
neg,'I cant smell anything - at all. I hate losing one of my senses.. '
neg,'well found out... i guess its true! '
neg,'okay im failing so badly at this graph on excel stuff. and its getting cold '
neg,'The pool is calling me but I have to be domestic '
neg,' I have that sad and disappointed feeling in my gut...'
neg,'Colleague from work is arriving this afternoon so Ill have to come back early  and then go out again. Slight annoyance.'
neg,'Please pray for my yogi hes toes broken  ?: Please pray for my yogi hes toes broken  ? http://bit.ly/our7X '
neg,'@a a reason could be outlook 2007 with its very very poor ms word-based html rendering engine out of the last century '
neg,'My Mum is very poorly in hospital pneumonia '
neg,'still struggling for internet. sucks beyond words. sorry im only on occasionally. its gunna be about 4 weeks more tho   peace xx'
neg,'@QuiMo aww  Other than the 5* I didnt! Although @donniewahlberg blew me a kiss before IBLY!'
neg,'@taylorswift13 im so bummed, tix sold out too fast so i dont get to see you this tour '
neg,'bored , and dreading school tomorrow ! '
neg,'I hate washing dishes '
neg,'bored at work. No one golfs in the rain  I love you Kyle'
neg,'@MCFLYFREAK Next time you will definitely be there with me. For sure! And I wrote it on my card.. bcause I spilled coffee over my banner '
neg,'Headache from hell made for little sleep and me not getting to go to Mombacho.  Hopefully a quiet day in the hotel drinking tea will help'
neg,'@CynLuscious  right on!  wish I was there.  '
neg,'@heidimontag Cleaning House '
neg,'Watching competitive cheerleading on TV. I miss cheerleading season '
neg,'@HootyMcBoon Im not certain  Ill have to get back to you! '
neg,'@Jonasbrothers your not coming to scotland! '
neg,'@GlastoWatch Shame Pink Fraud arent playing anymore, I was looking forward to that! '
neg,'#Karunanidhis statement about #Prabhakaran has left me speechless '
neg,'@imogensgarden Oh, dont get me started, sista! I am STILL dealing with that. Right at this moment as a matter of fact. '
neg,'@Attack_Kita hahah, no i keep missin it  you been talkin to you know who over yer holiday? ;) '
neg,'@Reyes87  Im so sorry that happened to u!!!!!'
neg,'@Stevevalentine yes, go back to bed and get PLENTY of rest and fluids, young man lol i dont want you sick  gentle hugs mate'
neg,'Wish I woke up when I got the Tweet about Farina set being streamed from Smart Bar '
neg,'at the dr.  again '
neg,'about to go clean my basement '
neg,'@JesseHoyle  Lets just agree that gunshots = bad.'
neg,'@DawnStensland hahha no prob, I would have watched FOX29 but their not on this hour, will be watching tonight at 6pm--to bad your not on! '
neg,'@taylorswift13 i wanna see you on tour so bad '
neg,'about to give a presentation.....that is about to be removed from the agenda '
neg,'has a sun-headache and cannot concentrate '
neg,'@taylorswift13 i wish youd come to dominican republic. '
neg,'@heidimontag ahhh! i have alot of stupid science hmwk!  i cant go outside to enjoy the beautiful day with my friends!'
neg,'Traded the Sun Run with walk-in clinic. I guess twas the responsible choice '
neg,'is wanting to go out in the sun '
neg,'Yesterday I dropped a heavy glass cover on my foot. The swelling still hasnt gone down. '
neg,'OK FINISHING EATING BREAKFAST.....NOW......CLEAN THE HOUSE! '
neg,'@nuttychris when you didnt talk to @sofisticat she was all sad  But theyre back away now :p'
neg,'@davidlebovitz there is no religion in existence that doesnt moan about something or other... '
neg,'cant understand why eggs sometimes induce my gag reflex. I made a lovely plate of scrambled eggs and cant finish them.  '
neg,'@jiggawhatjulie woke up on the wrong side of the bed '
neg,'@stephlester my head! '
neg,'I MISS MY HOME CHURCH THO  INFINITY NY CHURCH IN THE BRONX... ALSO BRONX COMMUNITY BAPTIST CHURCH IN THE BRONX. ILL BE BACK SOON!'
neg,'is really fed up of her awful skin now...i hate eczema  but looking very forward to Alton Towers tomorow!!! '
neg,' school tomorrow. i mean yes we go there to learn and so forth but why do we have such short holidays?'
neg,'I wish I was going to see dinosaur jr in Athens tomorrow '
neg,'my arm hurts and is itchy today '
neg,'so much work to do before school starts again tommorrow '
neg,'Stardom Bounds out of Oaks ...  She was my favorite, but I understand if shes not feeling up to par. '
neg,'Just woke up and my brother was trying to choke my dog! :| '
neg,'@WhatthefckSousa hey! Just did my hair now Im hungry. And then gotta go back to school   You?'
neg,'@girlblundy until someone fell and cut their lip '
neg,'@yaseminx3 aws poor you  &amp; heidi makes you sick? why?! xD'
neg,'has a stuffy nose  misery.'
neg,'@Crinklebum @monstersmonkeys not fair. I want to come! '
neg,' thought i was off work at noon. Very wrong. Hate that!'
neg,'i reallly dont wanna go back to schoool! I wish it was spring break againnn '
neg,'@PaigeXc serious? why not? i thought it looked like me '
neg,'@Ben_Hall sorry meant EX gf! Better now? U can keep it a secret now! '
neg,'@rockbigdave I have to charge mine practically daily '
neg,'@o_magazine Work '
neg,'Im so sad its Sunday  '
neg,'I like my job but i don`t like the part where i need to dress in suit   cuz i am sweating like a pig gorrrrrr'
neg,'@tzsfo I love farmers markets!  Wish I could come! '
neg,'@XxHayXx0 die? really? oh gosh. please dont ever go far from a starbucks! if you died, who would twitter me. gee, that sounded selfish '
neg,'Wants a Wii  '
neg,'@sparklestar17 hahaha! I wanted to get an IORG shirt when I went to Fresno but they had packed up all the merch '
neg,'should be packing and cleaning for the none existent house that I am moving into in the next coming weeks, thanks Kelly '
neg,'No open windows today, it is 36 degrees and cloudy outside '
neg,'1 more day of the holidays now, great, back to crappy old school &amp; no more waking up at 1.30 '
neg,'has come to the conclusion that some evil person has stolen my hairdryer '
neg,'Super tired, I left my camera at Tashas house!! '
neg,'i had such a deep thought I wanted to post and  it was so deep I cant find it now... '
neg,'Lana Winchester doesnt answer my text     I guess Im not Dominic '
neg,'Poor dog hurt his leg Friday playing with other dogs at Central Bark. Probably going to need to see the vet Tuesday '
neg,'@mattmagic i want flapjack '
neg,'Trying to explain to Jaeden why grandpa who is in Iraq cant just come over today to catch bugs with him..hes not really understanding  '
neg,'oh tabi...it�s so bowring without you...  (from miri)'
neg,'@sicross kv store is down. @thesmith raised a jira ticket yesterday but it has no response.  Yay for monitoring of core services...'
neg,'..searching for a good Podiatry Specialist.. I hurt my baby toe.. '
